UniqueCount	AmbigCount
16	0
115	0
27	100
0	11
116	140
592	1722
161	0
13	459
158	892
630	2410
103	0
0	0
429	58
0	0
114	487
0	0
944	0
869	0
308	0
1	213
0	0
1	133
176	276
23	608
33	150
378	20
0	38
40	1318
2	0
0	0
4	0
8	74
0	9
0	531
38	24
12	4
94	5
348	1605
365	595
0	71
48	702
72	0
2	0
0	0
19	0
4	57
10	161
3	11
3	5
0	116
981	292
0	1525
88	44
0	100
0	0
3	0
0	5
107	335
0	81
365	244
53	1140
0	9
159	10
13	0
7	111
0	0
8	25
0	0
366	323
155	942
70	1381
42	0
0	0
9	16
1	0
5	0
196	427
36	10
1	1
85	621
6	1076
0	38
2	27
1	0
6	1
34	110
352	210
223	1516
271	0
391	1191
11	0
4226	1
113	857
471	26
518	19
1213	317
178	1397
49	139
5	319
38	534
2	50
1	0
1797	1008
519	496
0	1
540	590
54	0
4661	249
15	139
0	0
0	0
2	63
0	0
7	69
848	24
0	0
0	0
49	0
1	2
2	646
75	0
153	261
3	21
0	0
4	1
180	6
150	11
14	1381
0	21
0	1
0	0
137	509
48	0
59	0
186	1046
6	162
2447	5
2	84
1	0
23	27
0	0
346	0
369	215
18	14
5	14
0	0
0	0
198	0
1	127
10	0
216	1
0	103
0	0
0	41
0	71
0	1
122	216
9	300
10163	210
0	0
0	0
1	102
71	214
37	458
3	17
427	0
164	14
8	15
23	487
71	0
91	33
1108	512
8	33
1	65
242	51
0	38
0	0
2	13
0	0
192	417
46	46
0	0
1078	498
0	576
0	0
0	0
0	148
0	2
0	72
0	281
1372	1561
3	2
93	69
369	536
623	78
114	65
0	49
241	0
0	0
0	0
435	9
0	28
308	0
1	0
65	0
354	1211
22081	65
822	133
29	83
1	181
110	33
1107	380
3	0
25149	323
1	134
1	0
1242	54
0	140
0	265
324	136
0	0
0	1
0	3
0	0
44	1
123	0
0	55
6665	647
39	197
1292	1691
3	0
47	18
1	1
3	350
0	0
1	96
3277	0
11	162
329	906
0	0
4	7
4	0
1028	654
255	271
185	15
0	29
19	0
226	1135
33	0
0	0
0	456
96	0
310	0
1489	0
0	39
3	759
24	131
0	6
0	0
1044	0
378	0
168	242
12	116
479	6
106	9
113	9
265	33
135	2
163	1776
7	0
0	0
1	0
0	0
0	0
1111	129
472	0
41	131
0	50
5	16
486	11
0	0
174	2168
50	1294
0	0
0	0
2	17
3	1096
55	349
380	227
2633	8
164	1129
0	0
82	0
0	0
1	0
1639	2
94	690
82	304
234	0
247	0
80	692
30	104
2	0
44	1157
0	0
295	0
1664	83
0	3
8	4
6	53
49	404
60	82
2	254
0	55
0	0
0	29
0	15
39	229
2	276
0	0
60	206
45	328
0	0
0	0
0	0
0	0
3	19
1	0
4	0
415	0
1555	617
2	58
12	0
26	341
227	262
777	820
2460	1
0	0
7	22
3	206
0	1
0	0
0	0
0	4
0	0
0	0
0	0
11	5
0	0
5	22
315	100
128	964
772	582
1594	433
190	0
408	438
13	308
370	144
643	804
120	2
1327	30
285	259
0	0
38	700
848	105
0	0
0	0
8	0
4	0
58	120
2710	11
52	87
306	166
145	256
13	117
57	453
201	0
1226	6
13942	260
0	0
1728	0
0	162
0	80
157	401
27	0
76	0
145	35
21	131
42	1
15611	1
151	0
34	218
416	695
471	0
6	0
1	0
2225	0
708	146
17	0
30	2
0	0
11021	1
199	344
0	0
3	541
6	177
0	6
0	19
5	191
44	806
38	0
1	0
0	19
0	0
252	73
488	352
262	0
6362	1
1146	49
161	0
463	0
529	1
112	0
76	121
0	25
0	3
6	87
388	281
709	1179
186	181
10890	2
1317	42
123	0
682	0
362	0
466	218
126	0
2	0
0	0
565	0
416	0
83	0
196	607
0	26
186	0
1254	0
143	94
467	87
19	805
2093	0
15	0
1300	2264
0	1
10	240
472	0
1666	404
284	864
22	584
196	9
74	57
0	0
2	135
44	5
0	0
12	0
1	6
0	0
0	0
2	0
85	17
18	53
413	33
127	743
0	79
6	30
219	994
7	122
1	0
0	0
1	48
0	0
63	9
5	178
1153	71
91	649
342	0
7	0
75	0
100	129
27	112
3	96
3	395
0	0
0	0
22	435
0	0
0	0
268	2
394	96
829	0
701	0
0	0
321	397
1	0
25	1244
33	713
3528	217
8	5
43	28
9	0
652	203
83	155
219	0
463	58
164	650
1	781
656	1484
98	118
476	0
0	7
202	1
26	0
2	27
0	61
31	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	44
1	1
12	778
0	0
1	12
3	1018
0	438
0	269
144	990
0	9
0	0
918	905
0	12
0	10
0	3
8	323
410	243
6	47
396	0
278	25
36	493
41	571
0	0
24	33
474	149
0	0
993	123
197	93
0	0
472	1
0	0
617	0
0	0
0	9
2	46
0	0
0	0
0	10
0	0
0	0
0	0
0	11
0	0
0	0
860	86
0	0
646	0
0	0
1	68
283	158
59	1449
443	192
7272	0
636	646
768	0
0	0
0	0
335	184
3	42
274	0
2	29
0	181
0	0
0	0
4600	148
448	0
123	0
674	289
0	2
7	251
15	29
28	0
0	3
0	0
0	0
0	0
286	23
1	16
372	1690
0	0
99	2
0	20
3	0
606	304
237	5
9116	2
0	16
0	0
0	0
0	0
0	0
508	146
0	0
0	0
0	0
0	3
0	4
0	0
0	0
376	1634
7	0
0	1
455	1
1	1
2	16
7	808
13	7
2	35
115	1182
2	81
29	76
0	0
1	1
122	0
5	0
188	0
538	96
331	0
56	0
8	0
269	268
4	46
114	1175
0	0
35	0
219	1131
352	185
29	349
365	10
849	23
1008	18
214	249
0	0
8	17
42	279
33	157
19	44
35	2
94	551
559	456
0	0
0	0
750	2037
2	0
3	0
0	0
108	460
19	1076
0	153
77	1692
16	625
0	0
0	3
4621	24
1506	12
0	0
0	3
29	0
0	14
0	0
8	0
254	2
13	0
79	1126
474	0
7762	4
0	0
0	0
0	0
1	3
237	22
2	27
0	0
257	106
65	127
26	367
104	988
113	758
8	11
11	1232
144	25
1	2
0	30
8	0
77	0
0	0
0	0
0	0
2	33
33	384
0	0
0	2
4	193
0	0
0	1
31	55
7	281
5	0
20	272
3	0
0	20
136	353
286	0
0	0
0	0
0	0
322	572
1860	34
5	0
38	17
260	402
0	39
469	18
577	1931
236	0
218	586
45	722
0	0
24	397
1	1
95	87
0	13
2	23
19252	200
25	145
0	0
4	80
12	46
97	103
74	1261
0	3
0	6
0	0
164	736
303	774
3	9
48	0
5	0
0	0
0	0
0	0
0	17
31	394
0	9
47	0
3	0
1	33
4604	826
49	279
145	96
17	1101
8	0
1852	326
0	0
10	5
0	0
0	0
65	35
0	6
1	476
98	69
19	205
778	83
189	547
138	229
542	980
204	619
366	0
578	0
30	0
92	665
5	0
0	0
0	197
342	1882
2	395
1	0
0	0
0	0
0	1
322	591
31	39
9	6
0	36
1	532
2	0
0	110
0	401
148	893
0	0
0	0
84	17
0	585
3	107
0	0
0	0
0	0
121	600
0	355
18	56
386	149
57	21
6	186
99	113
0	6
47	419
1169	531
10	176
1906	2108
205	1146
0	1
136	115
111	4
278	34
8	337
2	339
296	878
0	37
0	0
0	113
0	0
3	0
0	0
189	381
99	0
166	32
385	2
442	1
214	6
24	84
8	614
0	0
40	8
4	258
0	0
335	66
2	3
0	0
1	2
0	433
0	0
0	123
1	0
110	279
26	67
303	1189
19	84
12	3
0	0
0	0
285	27
383	32
122	0
41	234
565	704
852	552
0	0
330	1032
1196	288
26	0
1408	178
1	0
115	0
0	13
350	0
162	0
271	90
303	0
271	242
44	0
0	0
3	0
1	0
2551	0
18	57
11	62
114	13
76	277
0	0
0	0
104	172
0	1
24	37
88	47
1	11
0	56
4	1351
28	0
0	0
222	298
54	447
253	0
0	7
0	0
356	1385
58089	287
1861	0
0	929
1	4
2	11
188	0
0	0
371	498
0	0
0	32
0	0
5	1
99	1277
0	0
0	0
156	393
0	21
40	103
36	379
137	0
2	58
1	70
5	91
14	1
10	853
1	87
3466	58
280	0
25	16
1132	286
89	0
12922	9
4766	1849
17	0
0	0
0	0
116	12
289	107
1921	778
341	0
3	126
5	150
45	14
305	438
0	0
481	253
4	4
0	148
0	0
9	0
0	0
6	177
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	58
0	0
0	0
0	1
0	10
7	349
0	0
0	39
9	0
18	199
5	259
0	0
643	88
0	0
14	2
0	0
0	14
0	176
188	0
131	0
31	2
26	9
672	0
431	338
5	226
213	16
0	0
36	21
5	263
0	0
0	1
123	2154
1694	793
0	70
102	25
1	0
6	0
2	156
203	0
0	0
0	0
611	50
1381	892
0	0
0	13
0	0
116	841
0	15
527	65
0	0
25	114
0	9
6	0
13	0
19	21
31	547
0	195
0	0
0	0
173	0
0	0
54	0
3	55
19	166
0	64
17	0
0	14
119	1687
367	10
274	0
93	1001
20	422
136	0
159	101
769	2
19	929
0	141
54	454
0	344
0	0
12	29
0	252
2	5
2	16
0	0
279	1171
0	0
0	5
0	1
1372	614
140	0
45	24
5	6
90	211
30	235
147	0
312	51
409	0
8	0
1468	0
267	448
0	0
226	149
0	0
50	216
6	294
2	209
0	0
0	0
2	0
0	1
101	0
0	210
0	0
0	0
144	6
415	135
140	5
370	1
44	473
0	0
0	0
45	289
0	184
0	20
919	0
2	59
120	2
16	3
0	0
280	1884
26	0
6	0
7455	5
0	5
835	256
0	0
105	423
7481	626
1	168
9	552
306	0
3	2
99	203
45	753
8	137
5	608
0	46
506	1557
0	0
0	0
1	149
0	347
0	0
1	0
272	81
23	1013
0	5
32	0
6	43
41	0
6	134
142	0
161	399
2684	0
292	175
16	767
0	0
0	0
0	84
0	0
0	367
0	0
0	0
8	395
43	62
6414	0
8	358
0	1
0	1
0	893
3	339
0	20
0	0
79	88
44	176
5	17
29	43
429	386
292	0
63175	6
100131	27
10	983
2	730
2	233
39	345
910	0
193	0
116	0
472	8
3016	423
49	44
513	318
427	20
152	3766
48	450
0	0
398	365
163	0
315	206
0	10
0	11
18	205
8	135
125	0
2082	443
722	3
7	45
23	11
91	945
12	228
17	217
62	100
32	12
0	19
8	57
74	353
2	367
2	12
1	688
69599	4
221	0
4	0
0	0
61	336
139	1
558	547
2	0
128	0
280	681
363	0
121	161
0	1
76	132
299	0
0	0
0	0
74	555
46	244
0	0
247	1257
36	0
250	661
0	13
0	0
1	0
224	0
1	436
2642	121
560	247
1190	204
374	0
92945	9
87	136
0	24
203	751
45	72
299	0
27	1
944	149
46	31
0	50
267	10
190	0
0	0
255	160
274	179
514	582
0	0
1316	28
8	92
337	863
0	10
0	0
0	12
15	36
52	652
258	0
582	1241
0	0
0	0
227	0
0	39
0	3
1	27
0	33
0	716
54	230
723	418
2543	1103
0	0
223	0
0	0
0	0
7	282
0	0
0	0
1	0
38	3758
21756	4271
1887	441
20	450
16	0
18	87
65	177
0	2
170	12
502	1811
33	58
31	63
7	7
286	514
1939	1
4	0
1451	1
16	298
0	0
590	72
1336	130
0	6
7	0
449	149
2	0
18	0
52	35
0	0
45	0
35	0
26	1
16	0
9	0
2	0
27	89
15	0
38	0
28	0
64	78
0	12
157	0
42	0
49	42
22	1
7	4
33	0
7	0
40	188
13	192
1	0
90	7
1075	1901
409	36
179	478
0	0
1	65
101	141
6	8
23	13
0	0
0	0
1	0
212	1123
12	3
