g7768.t1	25eb069588251a65edebd41d77a0de2f	505	Coils	Coil	Coil	92	126	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	PANTHER	PTHR47331	PHD-TYPE DOMAIN-CONTAINING PROTEIN	68	455	2.6E-17	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	37	46	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	183	239	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	11	21	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	443	472	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	448	469	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	1	94	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	MobiDBLite	mobidb-lite	consensus disorder prediction	79	93	-	T	24-08-2026	-	-	-	-
g7768.t1	25eb069588251a65edebd41d77a0de2f	505	Pfam	PF03564	Protein of unknown function (DUF1759)	267	408	7.3E-9	T	24-08-2026	IPR005312	Domain of unknown function DUF1759	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	Pfam	PF02291	Transcription initiation factor IID, 31kD subunit	15	135	6.1E-48	T	24-08-2026	IPR003162	Transcription initiation factor TAFII31	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	PANTHER	PTHR48068	TAF9 RNA POLYMERASE II, TATA BOX-BINDING PROTEIN (TBP)-ASSOCIATED FACTOR	5	233	3.0E-61	T	24-08-2026	IPR051431	Transcription initiation factor TFIID subunit 9/TAF9	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	FunFam	G3DSA:1.10.20.10:FF:000018	Transcription initiation factor TFIID subunit 9	18	85	1.0E-33	T	24-08-2026	-	-	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	SUPERFAMILY	SSF47113	Histone-fold	19	83	9.49E-17	T	24-08-2026	IPR009072	Histone-fold	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	Gene3D	G3DSA:1.10.20.10	Histone, subunit A	18	85	3.9E-26	T	24-08-2026	IPR009072	Histone-fold	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	CDD	cd07979	HFD_TAF9	18	112	1.61457E-47	T	24-08-2026	IPR003162	Transcription initiation factor TAFII31	-	-
g8057.t1	cfd9d9c783cf1eece4d23e71deae457e	241	MobiDBLite	mobidb-lite	consensus disorder prediction	207	241	-	T	24-08-2026	-	-	-	-
g12651.t1	54a76eac589c62ae03502a2b393def05	103	MobiDBLite	mobidb-lite	consensus disorder prediction	63	103	-	T	24-08-2026	-	-	-	-
g12651.t1	54a76eac589c62ae03502a2b393def05	103	MobiDBLite	mobidb-lite	consensus disorder prediction	84	103	-	T	24-08-2026	-	-	-	-
g12651.t1	54a76eac589c62ae03502a2b393def05	103	PANTHER	PTHR41155	FI19525P1	9	98	1.7E-18	T	24-08-2026	-	-	-	-
g8449.t1	ffa300353c731a981d5e7295e3be63d8	518	ProSiteProfiles	PS51258	Munc13-homology domain 1 (MHD1) profile.	352	474	14.967584	T	24-08-2026	IPR014770	Munc13 homology 1	-	-
g8449.t1	ffa300353c731a981d5e7295e3be63d8	518	PANTHER	PTHR45999	UNC-13-4A, ISOFORM B	6	514	1.0E-99	T	24-08-2026	IPR052095	UNC-13 domain-containing protein	-	-
g8449.t1	ffa300353c731a981d5e7295e3be63d8	518	Gene3D	G3DSA:1.10.357.50	-	378	517	1.6E-22	T	24-08-2026	-	-	-	-
g8249.t1	92b58c59304ca3499b27068a150eee3a	756	Pfam	PF05482	Serendipity locus alpha protein (SRY-A)	264	486	2.7E-8	T	24-08-2026	IPR008837	Serendipity locus alpha	-	-
g6773.t1	19d809073e607a8dbdf60751f75da848	1397	ProSiteProfiles	PS50021	Calponin homology (CH) domain profile.	855	987	14.278166	T	24-08-2026	IPR001715	Calponin homology domain	-	-
g6773.t1	19d809073e607a8dbdf60751f75da848	1397	Pfam	PF15780	Abnormal spindle-like microcephaly-assoc'd, ASPM-SPD-2-Hydin	34	129	1.7E-14	T	24-08-2026	IPR031549	Abnormal spindle-like microcephaly-associated protein, ASH domain	-	-
g6773.t1	19d809073e607a8dbdf60751f75da848	1397	Pfam	PF00612	IQ calmodulin-binding motif	1052	1070	5.7	T	24-08-2026	IPR000048	IQ motif, EF-hand binding site	-	-
g6773.t1	19d809073e607a8dbdf60751f75da848	1397	Pfam	PF00612	IQ calmodulin-binding motif	1125	1142	23.0	T	24-08-2026	IPR000048	IQ motif, EF-hand binding site	-	-
g6773.t1	19d809073e607a8dbdf60751f75da848	1397	Pfam	PF00612	IQ calmodulin-binding motif	1094	1107	190.0	T	24-08-2026	IPR000048	IQ motif, EF-hand binding site	-	-
g6773.t1	19d809073e607a8dbdf60751f75da848	1397	SMART	SM00015	iq_5	1049	1071	0.15	T	24-08-2026	IPR000048	IQ motif, EF-hand binding site	-	-
